,Date,Exchange,Cause of Hack,Amount Stolen (USD),Notes,Source,Tags,NeedDiscussion
17,"2022, August 14",Acala,Parameter misconfiguration,N/A,,https://medium.com/acalanetwork/acala-incident-report-14-08-2022-392089588642,deprecated function,0
3,"2022, August 2",Nomad Bridge,Replica contract failure to authenticate messages,N/A,,https://medium.com/nomad-xyz-blog/nomad-bridge-hack-root-cause-analysis-875ad2e5aacd,validation error,0
23,"2022, July 24",Audius,Used smart contracts to assign as sole guardian and pass governance proposal,"$1,000,000 ",,https://losslessdefi.medium.com/audius-hack-code-enabled-governance-attack-33ac9d8084c8,governance attack/inconsistent access control,0
1,"2022, June 23",Horizon Bridge,Gained access to hot wallet-Private key breach in 2/5 validation scheme,"$100,000,000 ",,https://medium.com/coinmonks/100m-harmony-hack-explained-366a3216235c,compromised private key-wallet/unsafe multsignature strategy,0
20,"2022, June 16",Inverse Finance,flashloan attack to manipulate prices via oracle,"$1,200,000 ",,https://halborn.com/explained-the-inverse-finance-hack-june-2022/,unsecured oracle,0
8,"2022, May 1",Rari Capital + Fei Protocol,Reentrancy vulnerability in lending protocol,"$80,000,000 ",,https://www.coindesk.com/business/2022/04/30/defi-lender-rari-capitalfei-loses-80m-in-hack/,reentrancy,0
14,"2022, April 30",Saddle Finance,Took advantage of wrong MetaSwapUtils lib to calculate swap,"$10,000,000 ",,https://beincrypto.com/defi-exploits-continue-to-plague-industry-as-saddle-finance-hack-sees-10m-stolen/,calculation error,0
13,"2022, April 28",Deus Finance,Attacked oracle to lower price of tokens relative to dollar and allow for buyback by attacker at lower cost,"$13,400,000 ",flash loan,https://losslessdefi.medium.com/multiple-hacks-in-one-week-deus-finance-and-agave-a560ae156f5a,malicious oracle updater/external market manipulation,0
18,"2022, April 18",Beanstalk Farms,Flash loan to become supermajority voter and create proposals,"$182,000,000 ",flash loan,https://medium.com/uno-re/beanstalk-farms-hacked-total-damage-is-182-million-b699dd3e5c8,governance attack/majority attack,0
5,"2022, April 13",Elephant Money,Flash loan to mint coin and unbalance currency,"$11,200,000 ",flash loan,https://medium.com/elephant-money/reserve-exploit-52fd36ccc7e8,,0
15,"2022, April 7",Starstream Finance (lack of information),unprotected ditributor treasury used to drain funds and borrow on Agora,"$4,000,000 ",unprotected execute function,"https://medium.com/quillhash/defi-lender-inverse-finance-exploited-for-15m-%EF%B8%8F-6c572584aaf ,  https://twitter.com/AgoraDefi/status/1512231929445519370",,1
16,"2022, April 7",WonderHero,Gained access to hot wallet-obtained signature to mint coin and trade through pancakeswap,"$320,000 ",,https://wonderhero.medium.com/community-update-wonderhero-bnb-chain-bridging-withdrawal-compromised-84327a4fd79,compromised private key-wallet,0
19,"2022, April 2",Inverse Finance,Oracle bug allowed INV w/ manip price to be used as collateral,,,https://medium.com/quillhash/defi-lender-inverse-finance-exploited-for-15m-%EF%B8%8F-6c572584aaf,oracle manipulation/unsecured oracle,0
6,"2022, March 29",Ronin Network,Compromised private keys to establish withdrawals,"$625,000,000 ",hacked private key,https://slowmist.medium.com/report-on-the-ronin-network-exploit-and-aml-analysis-of-stolen-funds-692b2a589a96,compromised private key-wallet,0
11,"2022, March 23",Cashio,Missing validation of bank account,"$52,800,000 ",,https://medium.com/coinmonks/cashioapp-attack-whats-the-vulnerability-and-how-soteria-detects-it-2e96b9c6d1d3,absence of coding logic or sanity check,0
0,"2022, March 21",One Ring Finance,flash loan assisted price manipulation,"$1,400,000 ",flash loan,https://medium.com/oneringfinance/onering-finance-exploit-post-mortem-after-oshare-hack-602a529db99b,direct call to untrusted contract,0
10,"2022, March 21",Li Finance,"Pre-bridge swap feature to transfer funds from user wallets with ""infinite approval""","$600,000 ",,https://blog.li.fi/20th-march-the-exploit-e9e1c5c03eb9,Unrestricted action/unsafe or infinite token approval,0
9,"2022, March 20",Umbrella Network,Underflow bug in withdraw method of contract to withdraw arbitrary amount of LP,"$700,000 ",underflow bug,https://medium.com/uno-re/umbrella-network-hacked-700k-lost-97285b69e8c7,Integer overflow or underflow,0
12,"2022, March 9",Fantasm,Error-checking bug in mint function to mint collateral tokens without depositing normal tokens,"$2,600,000 ",error checking flaw,https://www.certik.com/resources/blog/5p92144WQ44Ytm1AL4Jt9X-fantasm-finance,absence of coding logic or sanity check,0
7,"2022, March 3",Treasure DAO,Faulty error checking in price calculation failed to account for quantity of 0,N/A,miscalculated value,https://slowmist.medium.com/analysis-of-the-treasuredao-zero-fee-exploit-73791f4b9c14,arithmetic mistakes/unhandled or mishandled exception,0
4,"2022, February 9",Dego Finance,Hacked DEGO team addresses and minting contract,"$10,000,000 ",,https://degofinance.medium.com/to-dego-community-summary-of-the-event-after-a-thorough-investigation-and-efforts-5315a98d9984,compromised private key-wallet,0
105,"2022, February 6",Meter,Malicious code injection into deposit function interacted with gas tokens/failure to verify correct number of wETH transfer,"$4,300,000 ",,https://certik.medium.com/4-3-million-lost-to-another-bridge-hack-db9b028a3c28,code injection/validation error,0
2,"2022, February 3",Wormhole,Bug in signature verification code allowed attacker to mint Wormhole-wrapped Ether,"$326,000,000 ",bug fix announced before being deployed,https://wormholecrypto.medium.com/wormhole-incident-report-02-02-22-ad9b8f21eec6,validation error/deployment mistake,0
24,"2022, February 3",KlaySwap,Malicious code injection transferred users' assets during transactions to attacker's address,"$1,900,000 ",attacked servers,https://medium.com/klayswap/klayswap-incident-report-feb-03-2022-f20ba2d8e4dd,code injection,0
22,"2022, January 28",Qubit,Failure to check whether deposited tokens are native,"$80,000,000 ",,https://slowmist.medium.com/our-analysis-of-the-80m-qubit-finance-exploit-b0f272cd8c25,validation error/absence of coding logic or sanity check,0
21,"2022, January 17",Crypto.com,2FA authentication bypass,"$34,000,000 ",,https://techcrunch.com/2022/01/20/2fa-compromise-led-to-34m-crypto-com-hack/,Inconsistent access control,0
26,"2022, January 10",Lympo,Gained access to hot wallet,"$18,700,000 ",,https://medium.com/lympo-official/lympo-statement-to-the-community-914d6b453b1f,compromised private key-wallet,0
25,"2022, January 1",Tinyman,Bug in token burning returned 2 of same asset nstead of different,"$3,000,000 ",,https://tinymanorg.medium.com/official-announcement-about-the-incidents-of-01-01-2022-56abb19d8b19,Other coding mistake,0
27,"2021, December 22",Visor Finance,Malicious contract called staking contract's withdraw function,"$8,100,000 ",,https://beosin.medium.com/two-vulnerabilities-in-one-function-the-analysis-of-visor-finance-exploit-a15735e2492,Direct call to untrusted contract/reentrancy,0
28,"2021, December 19",Grim Finance,Reentrancy attack caused by deposit function without validity checking,"$30,000,000 ",,https://slowmist.medium.com/analysis-of-the-grim-finance-hack-bc440108b069,validation error/reentrancy,0
29,"2021, December 13",Vulcan Forged,Private keys stolen and funds transferred out,"$140,000,000 ",,https://medium.com/quillhash/100-million-in-pyr-stolen-from-vulcan-forged-marketplace-5d66d3b558d8,compromised private key-wallet,0
106,"2021, December 11",AscendEX,Gained access to hot wallet,"$80,000,000 ",,https://www.coindesk.com/business/2021/12/13/crypto-exchange-ascendex-hacked-losses-estimated-at-77m/,compromised private key-wallet,0
30,"2021, December 8",8ight Finance,Private keys sent through Facebook and Google Drive,"$1,073,000 ",,https://fullycrypto.com/8ight-finance-admits-opsec-was-low-after-treasury-compromised,compromised private key-wallet,0
31,"2021, December 5",Pizza DeFi,Staking and withdrawal bugs allowed for infinite minting,"$5,000,000 ",,https://pizza-finance.medium.com/a-brief-review-on-the-12-08-spiderman-hacking-incident-8739c23322ab,Unsafe or infinite token approval,0
107,"2021, December 5",BitMart,Gained access to hot wallet,"$150,000,000 ",specific method unknown,https://www.zdnet.com/article/bitmart-breach-losses-reach-200-million/,compromised private key-wallet,0
32,"2021, December 2",BadgerDAO,Compromised API key to inject malicious code allowing foreign address approval to operate on wallet tokens,"$120,000,000 ",,https://badger.com/technical-post-mortem,code injection/faulty API,0
33,"2021, November 30",MonoX,Faulty error checking failed to determine whether transferred and outgoing tokens were same,"$31,000,000 ",accounting error,"https://slowmist.medium.com/detailed-analysis-of-the-31-million-monox-protocol-hack-574d8c44a9c8#:~:text=The%20Root%20Cause%20of%20the%20Attack&text=By%20taking%20advantage%20of%20this,assets%20within%20the%20MonoX%20protocol.",validation error/absence of coding logic or sanity check,0
34,"2021, November 5",bZx,Phishing email stole private keys,"$55,000,000 ",,https://therecord.media/hacker-steals-55-million-from-bzx-defi-platform/,compromised private key-wallet/phishing,0
35,"2021, October 27",Cream Finance,Flashloan using price manipulation,"$130,000,000 ",flash loan,https://slowmist.medium.com/cream-hacked-analysis-us-130-million-hacked-95c9410320ca,sandwiching,0
36,"2021, October 20",PancakeHunny,Flashloan using price manipulation caused by profit inflation bug,"$2,000,000 ",flash loan,"https://medium.com/hunnyfinance/pancakehunny-incident-report-b5b74557b0ad , https://twitter.com/peckshield/status/1450801612901937152",arithmetic mistake/profit calculation error,0
37,"2021, October 15",Indexed Finance,Flashloan taking advantage of re-indexing to manipulate minimum balance,"$16,000,000 ",flash loan,https://ndxfi.medium.com/indexed-attack-post-mortem-b006094f0bdc,transaction order dependency/unsafe internal state management,0
38,"2021, September 30",Compound Finance,Token distribution bug erroneously distributed funds to users triggered by faulty logic check,"$80,000,000 ",,https://cointelegraph.com/news/compound-supply-bug-mistakenly-rewarded-users-with-70m-in-tokens,faulty coding logic or sanity check,0
39,"2021, September 21",Vee Finance,Single oracle for price calculations allowed hacker to manipulate price,"$35,000,000 ",Used single oracle/not thorough,https://slowmist.medium.com/the-main-cause-of-vee-finance-attack-52fc8e5fb13d,On-chain oracle manipulation,0
40,"2021, September 20",pNetwork,Error in event log validation processed faulty peg-out requests,"$12,000,000 ",,https://medium.com/pnetwork/pnetwork-post-mortem-pbtc-on-bsc-exploit-170890c58d5f,direct call to untrusted contract,0
41,"2021, September 16",Sushi,Malicious code injection to replace wallet with own address,N/A,hacked into github,https://decrypt.co/81120/sushiswaps-token-launchpad-hacked-over-3m-ethereum,code injection/absence of coding logic or sanity check,0
42,"2021, September 12",Zabu Finance,Flashloan taking advantage of accounting defect in staking model,"3,200,000",took advantage of logic,https://slowmist.medium.com/brief-analysis-of-zabu-finance-being-hacked-44243919ea29,arithmetic mistakes/incompatibility between model and token,0
43,"2021, September 3",Dao Maker,Failure to authenticate caller in initialization of vesting contract allowed hacker to make emergency withdrawals,"$4,000,000 ",,https://slowmist.medium.com/intelligence-of-slowmist-zone-dao-makers-vesting-system-was-hacked-5825e4828969,Direct call to untrusted contract,0
44,"2021, August 30",Cream Finance,Reentrancy caused by poor AMP token contract integration,"$19,000,000 ",,https://medium.com/cream-finance/c-r-e-a-m-finance-post-mortem-amp-exploit-6ceb20a630c5,reentrancy,0
108,"2021, August 19",Liquid,Gained access to hot wallet through compromized private key,"$97,000,000 ",,https://cybavo.medium.com/crypto-exchange-liquid-loses-100m-in-hack-78f3835b12e7,compromised private key-wallet,0
45,"2021, August 12",Dao Maker,"Gained access to hot wallet with admin privileges, method unknown","$7,000,000 ",,https://medium.com/daomaker/dao-maker-statement-thursday-12th-of-august-2c3bb0d1bb69,compromised private key-wallet,0
46,"2021, August 10",Poly Network,Hacked contract to change keeper role to attacker and withdraw funds,"$268,000,000 ",access rights mismanagement,https://slowmist.medium.com/the-root-cause-of-poly-network-being-hacked-ec2ee1b0c68f,Inconsistent access control,0
47,"2021, August 10",Punk Protocol,Changed address of asset transfer to hacker's account,"$3,950,000 ",,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,call injection (?)/unprotected function,0
48,"2021, August 3",Popsicle Finance,Flashloan attack allowed hacker to manipulate earnings from transaction and collect rewards without holding token,"$25,000,000 ",,"https://popsiclefinance.medium.com/popsicle-finance-post-mortem-after-fragola-hack-f45b302362e0 , https://blocksecteam.medium.com/the-analysis-of-the-popsicle-finance-security-incident-9d9d5a3045c1",unhandled or mishandled exception,0
49,"2021, July 30",Levyathan,compromised smart contract through private key transferred ownership to attacker and allowed for infinite mint,N/A,,https://levyathan-index.medium.com/post-mortem-levyathan-c3ff7f9a6f65,compromised private key-wallet/inconsistant access control/Unsafe or infinite token approval,0
50,"2021, July 22",THORChain,Malicious smart contract exploited token refund function for undeposited tokens,"$13,000,000 ",custom smart contract tricked protocol,https://losslessdefi.medium.com/thorchain-hacks-could-they-have-been-prevented-6e4e478d0831,Direct call to untrusted contract,0
51,"2021, July 16",PancakeBunny,Flashloan attack exploited coin minter to earn deposit as interest,"$2,400,000 ",flash loan,https://pancakebunny.medium.com/polybunny-post-mortem-compensation-42b5c35ce957,unsecured oracle,0
52,"2021, July 15",THORChain,Unexpected value in deposit (0) caused loop escape,"$4,900,000 ",bug on bifrost bridge,https://losslessdefi.medium.com/thorchain-hacks-could-they-have-been-prevented-6e4e478d0831,validation error/unhandled or mishandled exception,0
54,"2021, July 15",Bondly Finance,Breached password account and gained access to smart contract and wallets,N/A,hacked address associated w/ owners,https://forj.medium.com/bondly-attack-july-14th-2021-postmortem-beb7cf02e9ba,compromised private key-wallet,0
55,"2021, July 10",ChainSwap,Logic bug allowed invalid addresses to increase amount and transfer out funds,"$4,400,000 ",smart contract flaw,https://losslessdefi.medium.com/chainswap-post-mortem-deep-dive-into-the-exploit-b5e7d2f58758,absence of coding logic or sanity check,0
56,"2021, July 2",ChainSwap,tokens removed from wallets interacting with chainswap due to invalid addresses manipulating cross-chain quota,"$800,000 ",,"https://slowmist.medium.com/our-review-of-the-blockchain-security-industry-in-2021-with-global-losses-exceeding-9-8-billion-60d93efbfca3 , https://chain-swap.medium.com/chainswap-exploit-11-july-2021-post-mortem-6e4e346e5a32",absence of coding logic or sanity check,0
53,"2021, June 28",THORChain,improper asset initialization caused by logic bug,"$140,000 ",,https://medium.com/thorchain/eth-parsing-error-and-exploit-3b343aa6466f,absence of coding logic or sanity check/other coding mistakes,0
57,"2021, June 28",SafeDollar,Repeated deposits and withdrawals drove deflation token down and reward became large,"$248,000 ",,https://safedollar.medium.com/safedollar-post-mortem-analysis-cb2769fe059,,0
58,"2021, June 22",Eleven Finance,Bug in share burning function doesn't burn shares after transferring funds in flashloan,"$4,600,000 ",,https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76,Other coding mistake,0
59,"2021, June 21",Impossible Finance,Flashloan and custom token to bypass slippage for sequential swaps,"$500,000 ",flash loan,https://medium.com/impossiblefinance/impossible-finance-v2-swap-jun-21st-postmortem-94e4b59ad490,unfair slippage protection,0
60,"2021, June 16",Alchemix,Access control issue allowed users to harvest yields from accounts,N/A,,https://medium.com/immunefi/alchemix-access-control-bug-fix-debrief-a13d39b9f2e0,Inconsistent access control,0
61,"2021, May 28",Belt Finance,mismatch between calculated asset values and actual ones due to flash loan attack,"$50,000,000 ",calculation error,https://medium.com/belt-finance/may-29-incident-report-865d20cc46ca,absence of coding logic or sanity check,0
62,"2021, May 28",BurgerSwap,Reentrancy due to missing require statement that could let anyone remove any amount from pool on protocol,"$7,200,000 ",re-entrancy,https://quillhashteam.medium.com/burgerswap-flash-loan-attack-analysis-888b1911daef,reentrancy,0
63,"2021, May 27",Wild Credit,Vulnerability in protocol,N/A,poor security measures,,,0
64,"2021, May 26",Merlin Lab (defunct),"new vault accidentally made public, contract mistakenly interpreted manually transferred funds as rewards and subsequently minted tokens","$330,000 ",,"https://rekt.news/merlin3-rekt/ , https://twitter.com/RugDocIO/status/1409821481941540866?s=19",inconsistent access control/absence of coding logic or sanity check/deployment mistake,1
65,"2021, May 26",Merlin Lab,Bug in price calculation,"$550,000 ",calculation error,"https://rekt.news/merlin2-rekt/ , https://bscscan.com/tx/0x664cbe3af9d7627819e1955a90d777d6cf492021eede057bc52686186da192e5",arithmetic mistake,1
66,"2021, May 26",Merlin Lab,inconsistent access control allowed attacker to manually increase token balance in wallet and manipulate calculated reward,"$680,000 ",,https://medium.com/amber-group/bsc-flash-loan-attack-the-three-copycats-e4cdbb65721e,inconsistent access control,1
67,"2021, May 24",AutoShark Finance,Manipulate flip balance to break minting function,"$822,000 ",,https://medium.com/amber-group/bsc-flash-loan-attack-the-three-copycats-e4cdbb65721e,inconsistent access control,0
68,"2021, May 19",Venus Protocol,Price manipulations caused either by improper price from oracle or venus team,N/A,,https://quillhashteam.medium.com/200-m-venus-protocol-hack-analysis-b044af76a1ae,faulty oracle,0
69,"2021, May 19",PancakeBunny,Flashloan attack taking advantage of flawed price calculation to mint more token than expected,"$200,000,000 ",flash loan,https://slowmist.medium.com/slowmist-pancakebunny-hack-analysis-4a708e284693,arithmetic mistake,0
70,"2021, May 16",bEarn Fi,Bug in withdraw logic caused by mismatches in withdraw amount and strategy logic denominations,"$11,000,000 ",,https://peckshield.medium.com/bearn-fi-incident-inconsistent-asset-denomination-between-vault-strategy-9b24b68ab1c0,internal book-keeping/absence of coding logic or sanity check,0
